Record_ID,Timestamp,Soil_Moisture,Soil_Temperature,Soil_pH,Humidity,Ambient_Temperature,Solar_Radiation,Wind_Speed,NDVI_Index,5G_Latency_ms,Plant_Health_Status
1,2024-01-01 00:00:00,19.98,16.54,6.93,72.14,33.01,498.91,6.61,0.255,1.04,Healthy
2,2024-01-01 01:00:00,43.03,16.17,7.51,41.21,32.18,466.33,0.98,0.267,1.0,High Stress
3,2024-01-01 02:00:00,34.28,32.66,7.4,86.71,17.39,340.92,2.57,0.689,5.25,Healthy
4,2024-01-01 03:00:00,28.95,16.24,5.88,69.85,38.06,685.81,7.78,0.565,1.26,High Stress
5,2024-01-01 04:00:00,11.24,16.8,5.87,40.22,29.21,581.3,5.38,0.793,9.77,Healthy
6,2024-01-01 05:00:00,11.24,28.98,6.17,92.55,24.09,892.56,9.29,0.887,3.0,High Stress
7,2024-01-01 06:00:00,7.32,21.24,6.4,63.69,33.91,225.69,4.4,0.491,5.25,Healthy
8,2024-01-01 07:00:00,39.65,29.42,6.52,34.74,21.43,715.09,8.72,0.647,1.55,Moderate Stress
9,2024-01-01 08:00:00,29.04,11.63,7.2,70.74,32.34,810.36,4.6,0.576,5.7,Healthy
10,2024-01-01 09:00:00,33.32,22.19,5.64,46.46,15.99,807.59,9.8,0.936,4.42,Healthy
11,2024-01-01 10:00:00,5.82,10.84,5.59,82.24,35.99,908.86,9.61,0.823,1.4,Moderate Stress
12,2024-01-01 11:00:00,43.8,11.57,6.48,83.16,26.2,783.23,3.43,0.884,4.02,Healthy
13,2024-01-01 12:00:00,38.3,32.66,7.24,93.63,30.92,942.25,8.88,0.391,4.52,Moderate Stress
14,2024-01-01 13:00:00,13.49,13.48,5.98,62.62,20.53,466.13,8.51,0.779,9.91,High Stress
15,2024-01-01 14:00:00,12.27,23.31,7.1,59.57,31.93,602.57,2.26,0.399,2.87,Moderate Stress
16,2024-01-01 15:00:00,12.34,20.28,6.15,78.98,34.31,211.26,6.32,0.357,5.9,Moderate Stress
17,2024-01-01 16:00:00,17.17,18.68,7.72,38.61,26.83,205.57,0.91,0.908,9.89,High Stress
18,2024-01-01 17:00:00,25.99,32.5,7.74,65.55,30.44,392.1,8.4,0.214,8.13,Moderate Stress
19,2024-01-01 18:00:00,22.28,10.55,6.24,65.51,26.41,280.65,1.91,0.924,9.94,Moderate Stress
20,2024-01-01 19:00:00,16.65,26.59,6.07,35.82,37.35,408.17,0.89,0.312,9.71,High Stress
21,2024-01-01 20:00:00,29.47,34.08,6.53,57.17,27.45,341.63,4.12,0.815,5.41,Healthy
22,2024-01-01 21:00:00,10.58,24.0,6.1,85.46,36.05,222.82,5.85,0.407,7.27,Healthy
23,2024-01-01 22:00:00,16.69,33.42,7.18,85.65,35.03,927.44,8.58,0.463,1.99,Moderate Stress
24,2024-01-01 23:00:00,19.65,11.31,7.57,36.45,25.26,206.58,9.75,0.363,4.97,Healthy
25,2024-01-02 00:00:00,23.24,20.47,7.18,35.9,20.75,788.87,4.51,0.639,8.28,Healthy
26,2024-01-02 01:00:00,36.41,16.5,7.56,47.08,25.15,321.72,0.79,0.461,5.55,Moderate Stress
27,2024-01-02 02:00:00,12.99,28.27,6.49,86.86,35.66,929.78,7.54,0.693,7.32,High Stress
28,2024-01-02 03:00:00,25.57,34.53,5.89,38.38,20.69,914.24,5.74,0.212,7.71,Healthy
29,2024-01-02 04:00:00,28.7,16.41,7.34,76.8,28.11,723.12,4.59,0.248,3.28,Moderate Stress
30,2024-01-02 05:00:00,6.86,26.35,6.4,36.58,35.15,737.79,3.23,0.275,8.88,High Stress
31,2024-01-02 06:00:00,29.3,14.95,7.18,70.5,23.84,204.27,5.12,0.514,5.14,Healthy
32,2024-01-02 07:00:00,11.82,24.13,6.18,53.14,31.06,987.9,3.52,0.811,2.89,High Stress
33,2024-01-02 08:00:00,7.6,21.6,5.7,81.28,21.14,902.27,7.62,0.866,8.79,Moderate Stress
34,2024-01-02 09:00:00,42.96,34.3,7.98,45.19,17.73,916.08,5.53,0.384,4.76,High Stress
35,2024-01-02 10:00:00,43.63,25.21,5.89,71.55,34.86,727.4,8.79,0.631,7.75,High Stress
36,2024-01-02 11:00:00,37.34,18.74,7.97,45.32,17.47,475.83,5.53,0.776,5.93,Moderate Stress
37,2024-01-02 12:00:00,17.18,12.85,7.94,76.39,21.78,914.92,2.53,0.417,4.44,Healthy
38,2024-01-02 13:00:00,8.91,13.78,7.48,86.79,36.38,433.21,8.54,0.507,8.29,Healthy
39,2024-01-02 14:00:00,32.37,15.63,7.15,38.24,23.66,650.17,5.66,0.593,6.26,High Stress
40,2024-01-02 15:00:00,22.61,16.27,6.94,86.33,39.33,279.78,2.23,0.301,4.52,High Stress
41,2024-01-02 16:00:00,9.88,31.27,7.67,68.58,39.49,937.56,6.31,0.219,1.99,High Stress
42,2024-01-02 17:00:00,24.81,24.03,6.22,38.26,21.71,312.62,3.71,0.315,9.06,High Stress
43,2024-01-02 18:00:00,6.38,23.08,6.67,57.79,16.02,379.92,8.48,0.67,1.32,Healthy
44,2024-01-02 19:00:00,41.37,12.87,7.05,40.46,32.63,646.51,4.64,0.255,8.77,Moderate Stress
45,2024-01-02 20:00:00,15.35,31.5,6.53,75.52,26.27,811.27,7.32,0.342,4.24,Moderate Stress
46,2024-01-02 21:00:00,31.5,28.07,6.57,79.33,17.52,695.48,1.14,0.453,6.75,Moderate Stress
47,2024-01-02 22:00:00,17.47,11.69,6.33,36.88,32.69,385.71,4.08,0.258,9.3,High Stress
48,2024-01-02 23:00:00,25.8,27.7,6.91,62.9,15.78,200.75,9.84,0.344,2.37,High Stress
