feature,importance_mean,importance_std
dry_duration,0.06203333333333331,0.0036253735439721758
moisture_mean,0.04479999999999997,0.0034195516275285862
moisture_slope,0.043666666666666645,0.0025516878945339564
temp_now,0.01606666666666664,0.0011718930554164716
light_now,0.010499999999999976,0.0014083086782851792
soil_now,0.009766666666666635,0.0023096416268426805
hour_cos,0.009033333333333315,0.001840591692303814
hour_sin,0.007233333333333303,0.0007461009761866371
humidity_now,0.005599999999999961,0.0008537498983243656
moisture_delta,0.004099999999999981,0.0012297244497131213
dow_cos,0.0035333333333332994,0.001301281419729552
dow_sin,0.00293333333333331,0.001062491830033941
