id,plant_label,timestamp,soil_moisture_pct,temperature_c,humidity_pct,light_level_pct,action_water,action_reduce_temp,action_increase_light,recommendation_summary,request_id,risk_class
164,PeaceLily,2026-06-02 21:20:11.83454+00,42.98,24,61.9,7.89,false,false,true,predWaterMin=158.4 nextCycleMin=79.2 powerSavingPct=62.1 actions:[light ],1780435209,0
165,PrayerPlant,2026-06-02 21:20:21.31991+00,81.07,24.9,56.3,7.89,false,false,true,predWaterMin=1626.7 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780435218,0
166,PeaceLily,2026-06-03 00:20:17.556486+00,43.02,23.6,58.6,0,false,false,true,predWaterMin=170.4 nextCycleMin=85.2 powerSavingPct=64.8 actions:[light ],1780446015,0
167,PrayerPlant,2026-06-03 00:20:26.663605+00,82.98,24.1,52.5,0,false,false,true,predWaterMin=1424.8 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780446024,0
168,PeaceLily,2026-06-03 03:20:17.353493+00,42.05,23.5,57.2,4.69,false,false,true,predWaterMin=143.9 nextCycleMin=71.9 powerSavingPct=58.3 actions:[light ],1780456814,0
169,PrayerPlant,2026-06-03 03:20:26.525145+00,82.59,24.1,51.5,4.69,false,false,true,predWaterMin=1272.4 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780456824,0
170,PeaceLily,2026-06-03 06:20:17.035085+00,42,23.5,58.2,17.19,false,false,true,predWaterMin=140.6 nextCycleMin=70.3 powerSavingPct=57.3 actions:[light ],1780467614,0
171,PrayerPlant,2026-06-03 06:20:26.214159+00,83.85,24,52.2,17.19,false,false,true,predWaterMin=1059.6 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780467623,0
172,PeaceLily,2026-06-03 09:20:16.891046+00,42.15,23.6,61.1,71.33,false,false,false,predWaterMin=139.0 nextCycleMin=69.5 powerSavingPct=56.8 actions:[],1780478414,0
173,PrayerPlant,2026-06-03 09:20:25.895081+00,84.29,24.1,55.7,14.11,false,false,true,predWaterMin=962.3 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780478423,0
182,PeaceLily,2026-06-03 10:02:21.105854+00,41.85,23.8,60.1,57.36,false,false,false,predWaterMin=83.9 nextCycleMin=42.0 powerSavingPct=28.5 actions:[],1780480936,0
183,PrayerPlant,2026-06-03 10:02:23.594151+00,84.83,25.1,54.8,13.7,false,false,true,predWaterMin=429.4 nextCycleMin=214.7 powerSavingPct=86.0 actions:[light ],1780480939,0
184,PeaceLily,2026-06-03 10:29:27.044535+00,41.61,23.8,60.8,40.32,false,false,false,predWaterMin=6281.4 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780482562,0
185,PrayerPlant,2026-06-03 10:32:25.139081+00,85.22,24.5,52.2,11.65,false,false,true,predWaterMin=10080.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780482740,0
186,PrayerPlant,2026-06-03 10:42:41.821765+00,64.68,24.5,52.9,13.92,false,false,true,predWaterMin=10080.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780483357,0
187,PeaceLily,2026-06-03 10:53:03.22072+00,41.37,23.8,60.8,55.56,false,false,false,predWaterMin=5536.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780483978,0
188,PrayerPlant,2026-06-03 10:55:33.70888+00,67.85,24.5,53.3,8.21,false,false,true,predWaterMin=21600.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780484129,0
189,PeaceLily,2026-06-03 13:53:12.518897+00,41.51,24,55.4,53.94,false,false,false,predWaterMin=5916.9 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780494788,0
190,PrayerPlant,2026-06-03 13:55:43.069473+00,52.73,24.6,47.6,15.34,false,false,true,predWaterMin=21600.0 nextCycleMin=240.0 powerSavingPct=87.5 actions:[light ],1780494938,0
191,PeaceLily,2026-06-03 16:53:12.382344+00,41.37,23.7,57.5,29.72,false,false,false,predWaterMin=6372.7 nextCycleMin=240.0 powerSavingPct=87.5 actions:[],1780505587,0
