plant_label,device_name,device_id,timestamp_utc,unix_time,soil_moisture_pct,temperature_c,humidity_pct,light_level_pct,risk_class,confidence,prob_healthy,prob_moderate_stress,prob_high_stress,action_water,action_reduce_temp,action_increase_humidity,action_increase_light,recommendation_summary
"Aglaonema","ESP32_COM5",2,"2026-05-13 00:25:20",1778624720,68.700,21.400,49.300,5.958,0,1.000000,1.000000,0.000000,0.000000,0,0,1,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[humidify light ]"
"Aglaonema","ESP32_COM5",2,"2026-05-13 02:25:20",1778631920,67.650,21.300,50.700,6.300,0,1.000000,1.000000,0.000000,0.000000,0,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[light ]"
"Aglaonema","ESP32_COM5",2,"2026-05-13 04:25:20",1778639120,65.650,21.300,51.500,6.325,0,1.000000,1.000000,0.000000,0.000000,0,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[light ]"
"Aglaonema","ESP32_COM5",2,"2026-05-13 06:25:20",1778646320,68.350,21.600,50.800,32.991,0,1.000000,1.000000,0.000000,0.000000,0,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[]"
"Aglaonema","ESP32_COM5",2,"2026-05-13 08:25:20",1778653520,66.400,21.700,50.500,59.756,0,1.000000,1.000000,0.000000,0.000000,0,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[]"
"Aglaonema","ESP32_COM5",2,"2026-05-13 10:25:19",1778660719,69.150,21.900,51.000,59.292,0,1.000000,1.000000,0.000000,0.000000,0,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[]"
"Aglaonema","ESP32_COM5",2,"2026-05-13 12:25:19",1778667919,66.900,21.900,50.800,35.556,0,1.000000,1.000000,0.000000,0.000000,0,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[]"
"Aglaonema","ESP32_COM5",2,"2026-05-13 14:25:19",1778675119,66.100,21.900,52.900,69.158,0,1.000000,1.000000,0.000000,0.000000,0,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=1 actions:[]"
"Aglaonema","ESP32_COM5",2,"2026-05-13 16:25:19",1778682319,62.500,22.100,55.800,67.985,0,0.999966,0.999966,0.000033,0.000001,0,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999966 actions:[]"
"Aglaonema","ESP32_COM5",2,"2026-05-13 18:25:19",1778689519,62.650,22.000,50.300,53.236,0,0.999999,0.999999,0.000001,0.000000,0,0,0,0,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999999 actions:[]"
"Aglaonema","ESP32_COM5",2,"2026-05-13 20:25:18",1778696718,60.100,21.800,49.700,21.026,0,0.999659,0.999659,0.000341,0.000000,0,0,1,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999659 actions:[humidify light ]"
"Aglaonema","ESP32_COM5",2,"2026-05-13 22:25:18",1778703918,60.450,21.600,50.200,7.497,0,0.999999,0.999999,0.000001,0.000000,0,0,0,1,"plant=Aglaonema prefs=[soil:pMid,temp:pMid,humidity:pMid,light:pMid] risk=0 confidence=0.999999 actions:[light ]"
